"Teilnehmer","Startzeit","Endzeit","Quelle","Wie stressig ist dein Arbeitsalltag? (1=kaum, 10=extrem) (Punkte von 1 bis 10) ","Welche dieser Antworten sind in deinen Augen Auslöser für Stress im Arbeitsalltag? (Workload / Umfang der Aufgaben)","Welche dieser Antworten sind in deinen Augen Auslöser für Stress im Arbeitsalltag? (Fehlende Kommunikation mit Kollegen)","Welche dieser Antworten sind in deinen Augen Auslöser für Stress im Arbeitsalltag? (Fehlende Kommunikation mit Vorgesetzten)","Welche dieser Antworten sind in deinen Augen Auslöser für Stress im Arbeitsalltag? (Fehlende Mittel oder Hilfestellung, um Aufgaben zu bearbeiten)","Welche dieser Antworten sind in deinen Augen Auslöser für Stress im Arbeitsalltag? (Stress im privaten Umfeld (Freizeit, Beziehung, etc.))","Welche dieser Antworten sind in deinen Augen Auslöser für Stress im Arbeitsalltag? (Keine der genannten)","Gibt es für dich weitre Auslöser für Stress im Arbeitsalltag?","Kennst du den Begriff ""Burnout"" im Kontext von Stress","Kannst du dein Stress-Level so gut einschätzen, dass du einem bevorstehenden Burnout vorbeugen könntest?","Würdest du eine Möglichkeit nutzen deinen Stress zu tracken, sodass du (oder dein Vorgesetzter) frühzeitig einschreiten kann um Burnout o.ä. zu verhindern?","Warum würdest du eine solche Möglichkeit nicht nutzen?","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (Unkomplizierte EIngabe)","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (Ästhetik des Devices)","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (Rückmeldungen)","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (Benachrrichtigungen)","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (Zusatzfunktionen (Wetteranzeige, Stifthalter, etc.))","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (Routinen, um Stress zu reduzieren)","Welche dieser Funktionen wären für dich essenziel, um das Tracken von Stress zu nutzen? (keine der genannten)","Welche Funktionen würdest du dir darüber hinaus wünschen?","Welche Möglichkeit gestellte Fragen zu beantworten gefällt dir am besten?","Ist es dir wichtig, dass du deine Ergebnisse (anonym) mit deinen Kollegen vergleichen kannst?","Wie alt bist du?","Wie ist dein aktueller Erwerbsstatus?"
"1","20.01.2022 09:21:09","20.01.2022 09:24:39","Direkter Link","9","1","0","0","0","1","0","Soloq","Ja","Vielleicht","Ja","übersprungen","1","0","1","1","0","1","0","Kanabis auf Knopfdruck ","Mindestens 4 Auswahlmöglichkeiten","Ja ","27","Selbstständig"
"2","20.01.2022 09:19:54","20.01.2022 09:27:31","Direkter Link","8","1","0","0","1","1","0","Corona nervt schon ","Ja","Nein","Ja","übersprungen","1","0","1","0","1","0","0","Uhr und datum","Unkomplizierte Ja-Nein Eingabe","Nein","22","Vollzeit Student*in"
"3","20.01.2022 09:33:01","20.01.2022 09:36:10","Direkter Link","8","1","0","1","0","0","0","soloq","Ja","Nein","Ja","übersprungen","1","0","0","0","0","1","0","Musik","Unkomplizierte Ja-Nein Eingabe","Ja ","23","Angestellte*r"
"4","20.01.2022 10:28:32","20.01.2022 10:31:44","Direkter Link","10","1","1","1","1","0","0",",,Nur noch Schnell'' etwas erledigen","Ja","Vielleicht","Vielleicht","übersprungen","1","1","0","1","1","0","0","Fällt mir spontan nichts ein ","Mindestens 4 Auswahlmöglichkeiten","Nein","21","Auszubildende*r"
"5","20.01.2022 10:47:04","20.01.2022 10:50:34","Direkter Link","7","1","0","0","0","0","0","Corona","Ja","Vielleicht","Ja","übersprungen","1","1","1","1","0","1","0","Verschiedene Modelle mit verschiedenen umfängen ","Ranking 1-10","Ja ","28","Vollzeit Student*in"
"6","20.01.2022 10:55:22","20.01.2022 11:02:32","Direkter Link","8","1","0","0","1","1","0","Ja","Ja","Nein","Ja","übersprungen","1","0","1","0","0","1","0","Warnungen bei sehr erhöhtem Stresslevel ","Unkomplizierte Ja-Nein Eingabe","Nein","24","Angestellte*r"
"7","20.01.2022 12:48:59","20.01.2022 12:56:17","Direkter Link","3","1","0","0","1","1","0","Abgabezeiten","Ja","Vielleicht","Ja","übersprungen","1","0","1","1","0","1","0","Lautsprecher","Unkomplizierte Ja-Nein Eingabe","Nein","24","Vollzeit Student*in"
"8","20.01.2022 14:15:22","20.01.2022 14:20:32","Direkter Link","6","0","0","1","1","1","0","-","Ja","Vielleicht","Ja","übersprungen","0","0","1","0","1","0","0","möglichst kleines Gerät","Mindestens 4 Auswahlmöglichkeiten","Ja ","23","Auszubildende*r"
"9","20.01.2022 14:19:17","20.01.2022 14:22:50","Direkter Link","2","0","0","0","1","1","0","nein","Ja","Vielleicht","Ja","übersprungen","1","0","1","0","0","0","0","Empfehlungen zu Literatur und anderen Lerninhalten bzgl. Stressreduktion","Ranking 1-10","Ja ","23","Vollzeit Student*in"
"10","20.01.2022 14:32:29","20.01.2022 14:37:38","Direkter Link","7","0","1","0","0","0","0","Nein","Ja","Ja","Vielleicht","übersprungen","0","0","0","0","0","1","0","Keine","Ranking 1-10","Nein","24","Vollzeit Student*in"
